year;stars;forks;topic
2019;18;0;linear-regression
2020;18;0;linear-regression
2021;18;0;linear-regression
2022;18;0;linear-regression
2023;18;0;linear-regression
2024;18;0;linear-regression
2025;18;0;linear-regression
2013;0;0;link-prediction
2016;0;0;link-prediction
2017;0;0;link-prediction
2018;0;0;link-prediction
2019;0;0;link-prediction
2020;34;9;link-prediction
2021;34;0;link-prediction
2022;34;0;link-prediction
2023;34;0;link-prediction
2024;34;0;link-prediction
2025;34;0;link-prediction
2013;0;0;linkage-disequilibrium
2016;0;0;linkage-disequilibrium
2017;0;0;linkage-disequilibrium
2018;30;9;linkage-disequilibrium
2019;74;10;linkage-disequilibrium
2020;74;0;linkage-disequilibrium
2021;74;0;linkage-disequilibrium
2022;74;0;linkage-disequilibrium
2023;116;14;linkage-disequilibrium
2024;116;0;linkage-disequilibrium
2025;116;0;linkage-disequilibrium
2013;0;0;linked-data
2016;0;0;linked-data
2017;0;0;linked-data
2018;0;0;linked-data
2019;0;0;linked-data
2020;0;0;linked-data
2021;0;0;linked-data
2022;45;4;linked-data
2023;45;0;linked-data
2024;45;0;linked-data
2025;45;0;linked-data
2013;0;0;linked-reads
2016;0;0;linked-reads
2017;0;0;linked-reads
2018;0;0;linked-reads
2019;0;0;linked-reads
2020;0;0;linked-reads
2021;0;0;linked-reads
2022;0;0;linked-reads
2023;63;13;linked-reads
2024;63;0;linked-reads
2025;63;0;linked-reads
2013;0;0;linux
2016;0;0;linux
2017;0;0;linux
2018;0;0;linux
2019;30;12;linux
2020;30;0;linux
2021;30;0;linux
2022;72;8;linux
2023;72;0;linux
2024;72;0;linux
2025;72;0;linux
2013;0;0;linux-shell
2016;0;0;linux-shell
2017;0;0;linux-shell
2018;0;0;linux-shell
2019;0;0;linux-shell
2020;0;0;linux-shell
2021;0;0;linux-shell
2022;22;6;linux-shell
2023;22;0;linux-shell
2024;22;0;linux-shell
2025;22;0;linux-shell
2013;0;0;liquid
2016;0;0;liquid
2017;11;4;liquid
2018;11;0;liquid
2019;11;0;liquid
2020;11;0;liquid
2021;11;0;liquid
2022;11;0;liquid
2023;11;0;liquid
2024;11;0;liquid
2025;11;0;liquid
2013;0;0;liquid-biopsy
2016;0;0;liquid-biopsy
2017;37;16;liquid-biopsy
2018;37;0;liquid-biopsy
2019;37;0;liquid-biopsy
2020;37;0;liquid-biopsy
2021;37;0;liquid-biopsy
2022;37;0;liquid-biopsy
2023;37;0;liquid-biopsy
2024;37;0;liquid-biopsy
2025;37;0;liquid-biopsy
2013;0;0;lisp
2016;0;0;lisp
2017;0;0;lisp
2018;0;0;lisp
2019;54;11;lisp
2020;54;0;lisp
2021;54;0;lisp
2022;54;0;lisp
2023;54;0;lisp
2024;54;0;lisp
2025;54;0;lisp
2013;0;0;literature-mining
2016;0;0;literature-mining
2017;0;0;literature-mining
2018;0;0;literature-mining
2019;0;0;literature-mining
2020;0;0;literature-mining
2021;0;0;literature-mining
2022;0;0;literature-mining
2023;38;5;literature-mining
2024;38;0;literature-mining
2025;38;0;literature-mining
2013;0;0;llama
2016;0;0;llama
2017;0;0;llama
2018;0;0;llama
2019;0;0;llama
2020;0;0;llama
2021;0;0;llama
2022;0;0;llama
2023;0;0;llama
2024;923;108;llama
2025;923;0;llama
2013;0;0;llama2
2016;0;0;llama2
2017;0;0;llama2
2018;0;0;llama2
2019;0;0;llama2
2020;0;0;llama2
2021;0;0;llama2
2022;0;0;llama2
2023;0;0;llama2
2024;923;108;llama2
2025;923;0;llama2
2013;0;0;llm
2016;0;0;llm
2017;0;0;llm
2018;0;0;llm
2019;0;0;llm
2020;0;0;llm
2021;0;0;llm
2022;0;0;llm
2023;0;0;llm
2024;923;108;llm
2025;1546;52;llm
2013;0;0;llsm
2016;0;0;llsm
2017;0;0;llsm
2018;0;0;llsm
2019;0;0;llsm
2020;21;8;llsm
2021;21;0;llsm
2022;21;0;llsm
2023;21;0;llsm
2024;21;0;llsm
2025;21;0;llsm
2013;0;0;lncrna
2016;0;0;lncrna
2017;0;0;lncrna
2018;0;0;lncrna
2019;35;28;lncrna
2020;35;0;lncrna
2021;63;12;lncrna
2022;63;0;lncrna
2023;63;0;lncrna
2024;63;0;lncrna
2025;63;0;lncrna
2013;0;0;locality-preserving
2016;0;0;locality-preserving
2017;0;0;locality-preserving
2018;0;0;locality-preserving
2019;0;0;locality-preserving
2020;0;0;locality-preserving
2021;0;0;locality-preserving
2022;0;0;locality-preserving
2023;43;2;locality-preserving
2024;43;0;locality-preserving
2025;43;0;locality-preserving
2013;0;0;logic-circuit
2016;0;0;logic-circuit
2017;0;0;logic-circuit
2018;0;0;logic-circuit
2019;0;0;logic-circuit
2020;0;0;logic-circuit
2021;27;1;logic-circuit
2022;27;0;logic-circuit
2023;27;0;logic-circuit
2024;27;0;logic-circuit
2025;27;0;logic-circuit
2013;0;0;lollipop-plot
2016;0;0;lollipop-plot
2017;0;0;lollipop-plot
2018;0;0;lollipop-plot
2019;20;13;lollipop-plot
2020;20;0;lollipop-plot
2021;20;0;lollipop-plot
2022;20;0;lollipop-plot
2023;20;0;lollipop-plot
2024;20;0;lollipop-plot
2025;20;0;lollipop-plot
2013;0;0;long-non-coding
2016;0;0;long-non-coding
2017;0;0;long-non-coding
2018;0;0;long-non-coding
2019;0;0;long-non-coding
2020;0;0;long-non-coding
2021;28;12;long-non-coding
2022;28;0;long-non-coding
2023;28;0;long-non-coding
2024;28;0;long-non-coding
2025;28;0;long-non-coding
2013;0;0;long-read-sequencing
2016;0;0;long-read-sequencing
2017;0;0;long-read-sequencing
2018;0;0;long-read-sequencing
2019;25;3;long-read-sequencing
2020;25;0;long-read-sequencing
2021;25;0;long-read-sequencing
2022;25;0;long-read-sequencing
2023;25;0;long-read-sequencing
2024;25;0;long-read-sequencing
2025;25;0;long-read-sequencing
2013;0;0;long-reads
2016;0;0;long-reads
2017;0;0;long-reads
2018;0;0;long-reads
2019;0;0;long-reads
2020;111;17;long-reads
2021;156;6;long-reads
2022;178;2;long-reads
2023;178;0;long-reads
2024;259;8;long-reads
2025;259;0;long-reads
2013;0;0;longranger
2016;0;0;longranger
2017;0;0;longranger
2018;0;0;longranger
2019;0;0;longranger
2020;0;0;longranger
2021;0;0;longranger
2022;0;0;longranger
2023;46;15;longranger
2024;46;0;longranger
2025;46;0;longranger
2013;0;0;lookup
2016;0;0;lookup
2017;0;0;lookup
2018;0;0;lookup
2019;0;0;lookup
2020;0;0;lookup
2021;0;0;lookup
2022;57;8;lookup
2023;57;0;lookup
2024;57;0;lookup
2025;57;0;lookup
2013;0;0;looper
2016;0;0;looper
2017;0;0;looper
2018;0;0;looper
2019;0;0;looper
2020;0;0;looper
2021;0;0;looper
2022;22;11;looper
2023;22;0;looper
2024;22;0;looper
2025;22;0;looper
2013;0;0;loops-calling
2016;0;0;loops-calling
2017;0;0;loops-calling
2018;0;0;loops-calling
2019;0;0;loops-calling
2020;0;0;loops-calling
2021;0;0;loops-calling
2022;114;18;loops-calling
2023;114;0;loops-calling
2024;114;0;loops-calling
2025;114;0;loops-calling
2013;0;0;low-cost
2016;0;0;low-cost
2017;0;0;low-cost
2018;0;0;low-cost
2019;0;0;low-cost
2020;110;20;low-cost
2021;110;0;low-cost
2022;110;0;low-cost
2023;110;0;low-cost
2024;110;0;low-cost
2025;110;0;low-cost
2013;0;0;lsf-jobs
2016;0;0;lsf-jobs
2017;94;36;lsf-jobs
2018;94;0;lsf-jobs
2019;94;0;lsf-jobs
2020;94;0;lsf-jobs
2021;94;0;lsf-jobs
2022;94;0;lsf-jobs
2023;94;0;lsf-jobs
2024;94;0;lsf-jobs
2025;94;0;lsf-jobs
2013;0;0;lstm
2016;0;0;lstm
2017;0;0;lstm
2018;18;8;lstm
2019;42;13;lstm
2020;67;9;lstm
2021;97;4;lstm
2022;127;16;lstm
2023;127;0;lstm
2024;127;0;lstm
2025;127;0;lstm
2013;0;0;lstm-neural-networks
2016;0;0;lstm-neural-networks
2017;0;0;lstm-neural-networks
2018;0;0;lstm-neural-networks
2019;98;29;lstm-neural-networks
2020;98;0;lstm-neural-networks
2021;239;34;lstm-neural-networks
2022;239;0;lstm-neural-networks
2023;239;0;lstm-neural-networks
2024;239;0;lstm-neural-networks
2025;239;0;lstm-neural-networks
2013;0;0;lua
2016;0;0;lua
2017;0;0;lua
2018;0;0;lua
2019;0;0;lua
2020;0;0;lua
2021;21;18;lua
2022;21;0;lua
2023;21;0;lua
2024;21;0;lua
2025;21;0;lua
2013;0;0;m6a
2016;0;0;m6a
2017;0;0;m6a
2018;0;0;m6a
2019;10;6;m6a
2020;10;0;m6a
2021;10;0;m6a
2022;10;0;m6a
2023;10;0;m6a
2024;10;0;m6a
2025;10;0;m6a
2013;0;0;machine-learning
2016;15;7;machine-learning
2017;44;13;machine-learning
2018;273;91;machine-learning
2019;416;49;machine-learning
2020;996;131;machine-learning
2021;1796;171;machine-learning
2022;2311;149;machine-learning
2023;2681;91;machine-learning
2024;3374;163;machine-learning
2025;11564;1887;machine-learning
2013;0;0;machine-learning-algorithms
2016;0;0;machine-learning-algorithms
2017;0;0;machine-learning-algorithms
2018;0;0;machine-learning-algorithms
2019;0;0;machine-learning-algorithms
2020;248;56;machine-learning-algorithms
2021;248;0;machine-learning-algorithms
2022;248;0;machine-learning-algorithms
2023;248;0;machine-learning-algorithms
2024;313;22;machine-learning-algorithms
2025;313;0;machine-learning-algorithms
2013;0;0;machinelearning
2016;0;0;machinelearning
2017;23;17;machinelearning
2018;23;0;machinelearning
2019;23;0;machinelearning
2020;271;56;machinelearning
2021;271;0;machinelearning
2022;271;0;machinelearning
2023;271;0;machinelearning
2024;271;0;machinelearning
2025;271;0;machinelearning
2013;0;0;maf-files
2016;0;0;maf-files
2017;0;0;maf-files
2018;0;0;maf-files
2019;0;0;maf-files
2020;0;0;maf-files
2021;0;0;maf-files
2022;0;0;maf-files
2023;0;0;maf-files
2024;0;0;maf-files
2025;481;224;maf-files
2013;0;0;mafft
2016;0;0;mafft
2017;12;6;mafft
2018;12;0;mafft
2019;12;0;mafft
2020;12;0;mafft
2021;12;0;mafft
2022;12;0;mafft
2023;12;0;mafft
2024;12;0;mafft
2025;12;0;mafft
2013;0;0;mag
2016;0;0;mag
2017;0;0;mag
2018;0;0;mag
2019;0;0;mag
2020;0;0;mag
2021;0;0;mag
2022;0;0;mag
2023;0;0;mag
2024;0;0;mag
2025;585;73;mag
2013;0;0;mags
2016;0;0;mags
2017;0;0;mags
2018;0;0;mags
2019;0;0;mags
2020;0;0;mags
2021;0;0;mags
2022;0;0;mags
2023;0;0;mags
2024;253;46;mags
2025;253;0;mags
2013;0;0;makefiles
2016;0;0;makefiles
2017;0;0;makefiles
2018;0;0;makefiles
2019;0;0;makefiles
2020;0;0;makefiles
2021;0;0;makefiles
2022;0;0;makefiles
2023;110;9;makefiles
2024;110;0;makefiles
2025;110;0;makefiles
2013;0;0;mancarci-2017
2016;0;0;mancarci-2017
2017;0;0;mancarci-2017
2018;0;0;mancarci-2017
2019;0;0;mancarci-2017
2020;0;0;mancarci-2017
2021;0;0;mancarci-2017
2022;0;0;mancarci-2017
2023;47;5;mancarci-2017
2024;47;0;mancarci-2017
2025;47;0;mancarci-2017
2013;0;0;manifold-learning
2016;0;0;manifold-learning
2017;0;0;manifold-learning
2018;0;0;manifold-learning
2019;0;0;manifold-learning
2020;0;0;manifold-learning
2021;0;0;manifold-learning
2022;0;0;manifold-learning
2023;0;0;manifold-learning
2024;0;0;manifold-learning
2025;411;50;manifold-learning
2013;0;0;manipulation
2016;0;0;manipulation
2017;0;0;manipulation
2018;0;0;manipulation
2019;0;0;manipulation
2020;0;0;manipulation
2021;0;0;manipulation
2022;0;0;manipulation
2023;0;0;manipulation
2024;0;0;manipulation
2025;1491;174;manipulation
2013;0;0;manubot
2016;0;0;manubot
2017;0;0;manubot
2018;0;0;manubot
2019;0;0;manubot
2020;0;0;manubot
2021;227;44;manubot
2022;227;0;manubot
2023;227;0;manubot
2024;227;0;manubot
2025;227;0;manubot
2013;0;0;manuscript
2016;0;0;manuscript
2017;0;0;manuscript
2018;0;0;manuscript
2019;0;0;manuscript
2020;17;3;manuscript
2021;244;44;manuscript
2022;244;0;manuscript
2023;244;0;manuscript
2024;244;0;manuscript
2025;244;0;manuscript
2013;0;0;mapping
2016;0;0;mapping
2017;21;6;mapping
2018;21;0;mapping
2019;21;0;mapping
2020;76;2;mapping
2021;76;0;mapping
2022;76;0;mapping
2023;76;0;mapping
2024;76;0;mapping
2025;76;0;mapping
2013;0;0;markov-chains
2016;0;0;markov-chains
2017;0;0;markov-chains
2018;0;0;markov-chains
2019;0;0;markov-chains
2020;0;0;markov-chains
2021;0;0;markov-chains
2022;0;0;markov-chains
2023;0;0;markov-chains
2024;0;0;markov-chains
2025;411;50;markov-chains
2013;0;0;mash
2016;0;0;mash
2017;0;0;mash
2018;0;0;mash
2019;0;0;mash
2020;0;0;mash
2021;0;0;mash
2022;0;0;mash
2023;43;3;mash
2024;762;73;mash
2025;762;0;mash
2013;0;0;mass-cytometry
2016;0;0;mass-cytometry
2017;45;14;mass-cytometry
2018;45;0;mass-cytometry
2019;45;0;mass-cytometry
2020;45;0;mass-cytometry
2021;45;0;mass-cytometry
2022;45;0;mass-cytometry
2023;45;0;mass-cytometry
2024;45;0;mass-cytometry
2025;45;0;mass-cytometry
2013;0;0;mass-spectrometry
2016;0;0;mass-spectrometry
2017;0;0;mass-spectrometry
2018;18;12;mass-spectrometry
2019;18;0;mass-spectrometry
2020;18;0;mass-spectrometry
2021;87;26;mass-spectrometry
2022;87;0;mass-spectrometry
2023;138;13;mass-spectrometry
2024;322;34;mass-spectrometry
2025;322;0;mass-spectrometry
2013;0;0;material-design
2016;0;0;material-design
2017;0;0;material-design
2018;0;0;material-design
2019;0;0;material-design
2020;0;0;material-design
2021;0;0;material-design
2022;0;0;material-design
2023;472;59;material-design
2024;472;0;material-design
2025;472;0;material-design
2013;0;0;material-ui
2016;0;0;material-ui
2017;0;0;material-ui
2018;0;0;material-ui
2019;0;0;material-ui
2020;0;0;material-ui
2021;0;0;material-ui
2022;0;0;material-ui
2023;472;59;material-ui
2024;472;0;material-ui
2025;472;0;material-ui
2013;0;0;materials-science
2016;0;0;materials-science
2017;0;0;materials-science
2018;0;0;materials-science
2019;0;0;materials-science
2020;0;0;materials-science
2021;0;0;materials-science
2022;0;0;materials-science
2023;0;0;materials-science
2024;0;0;materials-science
2025;2513;293;materials-science
2013;0;0;mathematical-functions
2016;0;0;mathematical-functions
2017;0;0;mathematical-functions
2018;0;0;mathematical-functions
2019;0;0;mathematical-functions
2020;0;0;mathematical-functions
2021;0;0;mathematical-functions
2022;0;0;mathematical-functions
2023;0;0;mathematical-functions
2024;96;50;mathematical-functions
2025;96;0;mathematical-functions
2013;0;0;mathematics
2016;0;0;mathematics
2017;0;0;mathematics
2018;0;0;mathematics
2019;0;0;mathematics
2020;0;0;mathematics
2021;27;1;mathematics
2022;27;0;mathematics
2023;27;0;mathematics
2024;27;0;mathematics
2025;27;0;mathematics
2013;0;0;matlab
2016;0;0;matlab
2017;0;0;matlab
2018;0;0;matlab
2019;24;9;matlab
2020;24;0;matlab
2021;24;0;matlab
2022;24;0;matlab
2023;24;0;matlab
2024;24;0;matlab
2025;24;0;matlab
2013;0;0;matplotlib
2016;0;0;matplotlib
2017;23;17;matplotlib
2018;23;0;matplotlib
2019;34;0;matplotlib
2020;34;0;matplotlib
2021;34;0;matplotlib
2022;34;0;matplotlib
2023;137;12;matplotlib
2024;307;20;matplotlib
2025;1325;54;matplotlib
2013;0;0;maximum-likelihood
2016;0;0;maximum-likelihood
2017;0;0;maximum-likelihood
2018;0;0;maximum-likelihood
2019;0;0;maximum-likelihood
2020;0;0;maximum-likelihood
2021;0;0;maximum-likelihood
2022;0;0;maximum-likelihood
2023;0;0;maximum-likelihood
2024;90;14;maximum-likelihood
2025;538;64;maximum-likelihood
2013;0;0;mechanical
2016;0;0;mechanical
2017;41;4;mechanical
2018;41;0;mechanical
2019;41;0;mechanical
2020;41;0;mechanical
2021;41;0;mechanical
2022;41;0;mechanical
2023;41;0;mechanical
2024;41;0;mechanical
2025;41;0;mechanical
2013;0;0;medical
2016;0;0;medical
2017;0;0;medical
2018;0;0;medical
2019;0;0;medical
2020;0;0;medical
2021;28;10;medical
2022;67;8;medical
2023;67;0;medical
2024;67;0;medical
2025;67;0;medical
2013;0;0;medical-dialogue
2016;0;0;medical-dialogue
2017;0;0;medical-dialogue
2018;0;0;medical-dialogue
2019;0;0;medical-dialogue
2020;0;0;medical-dialogue
2021;0;0;medical-dialogue
2022;106;29;medical-dialogue
2023;106;0;medical-dialogue
2024;106;0;medical-dialogue
2025;106;0;medical-dialogue
2013;0;0;medical-imaging
2016;0;0;medical-imaging
2017;0;0;medical-imaging
2018;0;0;medical-imaging
2019;0;0;medical-imaging
2020;0;0;medical-imaging
2021;55;36;medical-imaging
2022;55;0;medical-imaging
2023;55;0;medical-imaging
2024;55;0;medical-imaging
2025;55;0;medical-imaging
2013;0;0;medicine
2016;0;0;medicine
2017;0;0;medicine
2018;0;0;medicine
2019;0;0;medicine
2020;0;0;medicine
2021;28;10;medicine
2022;28;0;medicine
2023;28;0;medicine
2024;28;0;medicine
2025;1219;202;medicine
2013;0;0;merging
2016;0;0;merging
2017;0;0;merging
2018;0;0;merging
2019;0;0;merging
2020;0;0;merging
2021;0;0;merging
2022;0;0;merging
2023;0;0;merging
2024;0;0;merging
2025;2257;366;merging
2013;0;0;meta-genomics
2016;0;0;meta-genomics
2017;0;0;meta-genomics
2018;0;0;meta-genomics
2019;0;0;meta-genomics
2020;0;0;meta-genomics
2021;0;0;meta-genomics
2022;0;0;meta-genomics
2023;118;24;meta-genomics
2024;118;0;meta-genomics
2025;118;0;meta-genomics
2013;0;0;metabarcoding
2016;0;0;metabarcoding
2017;0;0;metabarcoding
2018;0;0;metabarcoding
2019;0;0;metabarcoding
2020;0;0;metabarcoding
2021;0;0;metabarcoding
2022;38;6;metabarcoding
2023;38;0;metabarcoding
2024;38;0;metabarcoding
2025;1298;293;metabarcoding
2013;0;0;metabolic-modeling
2016;0;0;metabolic-modeling
2017;0;0;metabolic-modeling
2018;0;0;metabolic-modeling
2019;0;0;metabolic-modeling
2020;0;0;metabolic-modeling
2021;0;0;metabolic-modeling
2022;0;0;metabolic-modeling
2023;0;0;metabolic-modeling
2024;253;46;metabolic-modeling
2025;253;0;metabolic-modeling
2013;0;0;metabolic-models
2016;0;0;metabolic-models
2017;0;0;metabolic-models
2018;0;0;metabolic-models
2019;0;0;metabolic-models
2020;0;0;metabolic-models
2021;0;0;metabolic-models
2022;0;0;metabolic-models
2023;35;15;metabolic-models
2024;288;46;metabolic-models
2025;823;234;metabolic-models
2013;0;0;metabolic-network
2016;0;0;metabolic-network
2017;0;0;metabolic-network
2018;0;0;metabolic-network
2019;0;0;metabolic-network
2020;0;0;metabolic-network
2021;0;0;metabolic-network
2022;0;0;metabolic-network
2023;35;15;metabolic-network
2024;35;0;metabolic-network
2025;570;234;metabolic-network
2013;0;0;metabolism
2016;0;0;metabolism
2017;0;0;metabolism
2018;0;0;metabolism
2019;0;0;metabolism
2020;0;0;metabolism
2021;0;0;metabolism
2022;0;0;metabolism
2023;0;0;metabolism
2024;253;46;metabolism
2025;788;234;metabolism
2013;0;0;metabolomics
2016;0;0;metabolomics
2017;0;0;metabolomics
2018;0;0;metabolomics
2019;0;0;metabolomics
2020;32;7;metabolomics
2021;32;0;metabolomics
2022;32;0;metabolomics
2023;32;0;metabolomics
2024;32;0;metabolomics
2025;2545;293;metabolomics
2013;0;0;metacyc
2016;0;0;metacyc
2017;0;0;metacyc
2018;0;0;metacyc
2019;0;0;metacyc
2020;0;0;metacyc
2021;17;3;metacyc
2022;17;0;metacyc
2023;17;0;metacyc
2024;17;0;metacyc
2025;17;0;metacyc
2013;0;0;metadata
2016;0;0;metadata
2017;0;0;metadata
2018;0;0;metadata
2019;54;11;metadata
2020;54;0;metadata
2021;54;0;metadata
2022;74;4;metadata
2023;74;0;metadata
2024;74;0;metadata
2025;74;0;metadata
2013;0;0;metadata-extraction
2016;0;0;metadata-extraction
2017;0;0;metadata-extraction
2018;0;0;metadata-extraction
2019;54;11;metadata-extraction
2020;54;0;metadata-extraction
2021;54;0;metadata-extraction
2022;54;0;metadata-extraction
2023;54;0;metadata-extraction
2024;54;0;metadata-extraction
2025;54;0;metadata-extraction
2013;0;0;metagenome-assembled-genomes
2016;0;0;metagenome-assembled-genomes
2017;0;0;metagenome-assembled-genomes
2018;0;0;metagenome-assembled-genomes
2019;0;0;metagenome-assembled-genomes
2020;0;0;metagenome-assembled-genomes
2021;0;0;metagenome-assembled-genomes
2022;0;0;metagenome-assembled-genomes
2023;0;0;metagenome-assembled-genomes
2024;367;133;metagenome-assembled-genomes
2025;952;73;metagenome-assembled-genomes
2013;0;0;metagenome-assembly
2016;0;0;metagenome-assembly
2017;0;0;metagenome-assembly
2018;0;0;metagenome-assembly
2019;0;0;metagenome-assembly
2020;25;5;metagenome-assembly
2021;25;0;metagenome-assembly
2022;25;0;metagenome-assembly
2023;25;0;metagenome-assembly
2024;25;0;metagenome-assembly
2025;25;0;metagenome-assembly
2013;0;0;metagenomes
2016;0;0;metagenomes
2017;0;0;metagenomes
2018;0;0;metagenomes
2019;0;0;metagenomes
2020;0;0;metagenomes
2021;30;3;metagenomes
2022;30;0;metagenomes
2023;30;0;metagenomes
2024;30;0;metagenomes
2025;30;0;metagenomes
2013;0;0;metagenomic-data
2016;0;0;metagenomic-data
2017;0;0;metagenomic-data
2018;0;0;metagenomic-data
2019;0;0;metagenomic-data
2020;14;1;metagenomic-data
2021;14;0;metagenomic-data
2022;14;0;metagenomic-data
2023;14;0;metagenomic-data
2024;14;0;metagenomic-data
2025;14;0;metagenomic-data
2013;0;0;metagenomics
2016;0;0;metagenomics
2017;21;9;metagenomics
2018;21;0;metagenomics
2019;36;4;metagenomics
2020;119;26;metagenomics
2021;176;18;metagenomics
2022;373;55;metagenomics
2023;586;32;metagenomics
2024;1798;287;metagenomics
2025;6716;940;metagenomics
2013;0;0;metapackage
2016;0;0;metapackage
2017;0;0;metapackage
2018;0;0;metapackage
2019;314;37;metapackage
2020;314;0;metapackage
2021;314;0;metapackage
2022;314;0;metapackage
2023;314;0;metapackage
2024;314;0;metapackage
2025;314;0;metapackage
2013;0;0;metapath
2016;0;0;metapath
2017;0;0;metapath
2018;0;0;metapath
2019;0;0;metapath
2020;0;0;metapath
2021;17;3;metapath
2022;17;0;metapath
2023;17;0;metapath
2024;17;0;metapath
2025;17;0;metapath
2013;0;0;metatranscriptomics
2016;0;0;metatranscriptomics
2017;0;0;metatranscriptomics
2018;0;0;metatranscriptomics
2019;0;0;metatranscriptomics
2020;0;0;metatranscriptomics
2021;0;0;metatranscriptomics
2022;0;0;metatranscriptomics
2023;0;0;metatranscriptomics
2024;163;15;metatranscriptomics
2025;653;151;metatranscriptomics
2013;0;0;meteor
2016;0;0;meteor
2017;0;0;meteor
2018;24;6;meteor
2019;24;0;meteor
2020;24;0;meteor
2021;24;0;meteor
2022;24;0;meteor
2023;24;0;meteor
2024;24;0;meteor
2025;24;0;meteor
2013;0;0;methylation
2016;0;0;methylation
2017;0;0;methylation
2018;0;0;methylation
2019;24;9;methylation
2020;24;0;methylation
2021;24;0;methylation
2022;56;14;methylation
2023;767;184;methylation
2024;942;46;methylation
2025;1382;111;methylation
2013;0;0;methylation-extraction
2016;0;0;methylation-extraction
2017;0;0;methylation-extraction
2018;0;0;methylation-extraction
2019;0;0;methylation-extraction
2020;0;0;methylation-extraction
2021;0;0;methylation-extraction
2022;0;0;methylation-extraction
2023;0;0;methylation-extraction
2024;175;46;methylation-extraction
2025;175;0;methylation-extraction
2013;0;0;metrics
2016;0;0;metrics
2017;0;0;metrics
2018;0;0;metrics
2019;14;10;metrics
2020;14;0;metrics
2021;14;0;metrics
2022;14;0;metrics
2023;14;0;metrics
2024;14;0;metrics
2025;14;0;metrics
2013;0;0;mhc
2016;0;0;mhc
2017;0;0;mhc
2018;0;0;mhc
2019;33;18;mhc
2020;33;0;mhc
2021;33;0;mhc
2022;33;0;mhc
2023;33;0;mhc
2024;33;0;mhc
2025;33;0;mhc
2013;0;0;microarray
2016;0;0;microarray
2017;0;0;microarray
2018;0;0;microarray
2019;0;0;microarray
2020;0;0;microarray
2021;0;0;microarray
2022;0;0;microarray
2023;37;16;microarray
2024;385;117;microarray
2025;385;0;microarray
2013;0;0;microbial
2016;0;0;microbial
2017;21;9;microbial
2018;21;0;microbial
2019;21;0;microbial
2020;21;0;microbial
2021;21;0;microbial
2022;21;0;microbial
2023;21;0;microbial
2024;21;0;microbial
2025;21;0;microbial
2013;0;0;microbial-ecology
2016;0;0;microbial-ecology
2017;0;0;microbial-ecology
2018;0;0;microbial-ecology
2019;0;0;microbial-ecology
2020;0;0;microbial-ecology
2021;0;0;microbial-ecology
2022;30;19;microbial-ecology
2023;30;0;microbial-ecology
2024;283;46;microbial-ecology
2025;283;0;microbial-ecology
2013;0;0;microbial-genomics
2016;0;0;microbial-genomics
2017;0;0;microbial-genomics
2018;0;0;microbial-genomics
2019;48;36;microbial-genomics
2020;48;0;microbial-genomics
2021;48;0;microbial-genomics
2022;70;4;microbial-genomics
2023;108;7;microbial-genomics
2024;108;0;microbial-genomics
2025;1711;127;microbial-genomics
2013;0;0;microbial-sequences
2016;0;0;microbial-sequences
2017;0;0;microbial-sequences
2018;0;0;microbial-sequences
2019;0;0;microbial-sequences
2020;0;0;microbial-sequences
2021;0;0;microbial-sequences
2022;0;0;microbial-sequences
2023;118;24;microbial-sequences
2024;118;0;microbial-sequences
2025;118;0;microbial-sequences
2013;0;0;microbial-taxonomy
2016;0;0;microbial-taxonomy
2017;0;0;microbial-taxonomy
2018;0;0;microbial-taxonomy
2019;0;0;microbial-taxonomy
2020;0;0;microbial-taxonomy
2021;0;0;microbial-taxonomy
2022;0;0;microbial-taxonomy
2023;0;0;microbial-taxonomy
2024;114;87;microbial-taxonomy
2025;114;0;microbial-taxonomy
2013;0;0;microbiology
2016;0;0;microbiology
2017;0;0;microbiology
2018;0;0;microbiology
2019;48;36;microbiology
2020;111;15;microbiology
2021;111;0;microbiology
2022;141;19;microbiology
2023;192;53;microbiology
2024;192;0;microbiology
2025;192;0;microbiology
2013;0;0;microbiome
2016;0;0;microbiome
2017;0;0;microbiome
2018;0;0;microbiome
2019;0;0;microbiome
2020;25;11;microbiome
2021;109;24;microbiome
2022;242;41;microbiome
2023;386;77;microbiome
2024;761;85;microbiome
2025;2021;293;microbiome
2013;0;0;microbiome-analysis
2016;0;0;microbiome-analysis
2017;0;0;microbiome-analysis
2018;0;0;microbiome-analysis
2019;0;0;microbiome-analysis
2020;0;0;microbiome-analysis
2021;0;0;microbiome-analysis
2022;0;0;microbiome-analysis
2023;0;0;microbiome-analysis
2024;122;39;microbiome-analysis
2025;122;0;microbiome-analysis
2013;0;0;microbiome-workflow
2016;0;0;microbiome-workflow
2017;0;0;microbiome-workflow
2018;0;0;microbiome-workflow
2019;0;0;microbiome-workflow
2020;0;0;microbiome-workflow
2021;0;0;microbiome-workflow
2022;0;0;microbiome-workflow
2023;0;0;microbiome-workflow
2024;122;39;microbiome-workflow
2025;122;0;microbiome-workflow
2013;0;0;microbiota
2016;0;0;microbiota
2017;0;0;microbiota
2018;0;0;microbiota
2019;0;0;microbiota
2020;0;0;microbiota
2021;38;20;microbiota
2022;38;0;microbiota
2023;38;0;microbiota
2024;38;0;microbiota
2025;38;0;microbiota
2013;0;0;minhash
2016;0;0;minhash
2017;0;0;minhash
2018;0;0;minhash
2019;0;0;minhash
2020;48;3;minhash
2021;48;0;minhash
