name;stars;created;forks;topics;language;selected_year
usegalaxy-eu/sars-cov-2-processing-requests;20;2021-04-20;8;['bioinformatics', 'galaxy', 'sars-cov-2', 'usegalaxy'];Python;2021
brentp/hts-zig;20;2021-10-25;0;['bioinformatics', 'genomics', 'hacktoberfest', 'htslib', 'zig', 'ziglang'];Zig;2021
apietrelli/myVCF;20;2016-11-08;13;['bioinformatics', 'gui', 'myvcf-gui', 'ngs', 'ngstools'];Python;2021
shao-lab/MotifScan;20;2017-10-22;1;['bioinformatics', 'motif-discovery', 'transcription-factors'];Python;2021
slowikj/seqR;19;2019-11-14;1;['bioinformatics', 'bioinformatics-tool', 'dna-processing', 'feature-engineering', 'feature-extraction', 'genomics', 'hashing', 'hashing-algorithms', 'k-mer', 'k-mer-counting', 'kmer', 'kmer-counting', 'kmer-frequency-count', 'kmers', 'ngram', 'ngrams', 'protein-sequences', 'rcpp', 'rcppparallel', 'rpackage'];C++;2021
kotori-y/pySmash;19;2020-06-15;3;['bioinformatics', 'cheminformatics', 'rdkit', 'toxicity'];Jupyter Notebook;2021
clemgoub/TypeTE;19;2017-09-18;1;['alu', 'bioinformatics', 'genotype-likelihoods', 'genotyping', 'short-reads', 'transposable-elements', 'transposons', 'vcf'];Perl;2021
robertamezquita/marge;18;2019-01-03;12;['bioinformatics', 'chip-seq', 'r'];R;2021
anazhmetdin/siRNAdesigner;17;2021-10-23;6;['bioinformatics', 'sirna', 'sirna-design'];Python;2021
linsalrob/PhageHosts;17;2014-12-22;8;['bioinformatics', 'phage'];Python;2021
jdrudolph/photon;17;2015-12-15;5;['bioinformatics', 'biological-data-analysis', 'biology', 'pathways', 'phosphoproteomics', 'phosphorylation', 'proteomics', 'signaling-networks', 'signaling-pathways'];Python;2021
BojarLab/SweetNet;17;2021-02-15;6;['bioinformatics', 'glycans', 'glycobiology', 'machine-learning'];Jupyter Notebook;2021
hallamlab/pathway2vec;17;2020-03-14;3;['biocyc', 'bioinformatics', 'deep-learning', 'embedding', 'heterogeneous-information-networks', 'metacyc', 'metapath', 'pathway-prediction', 'pathway-tools'];Python;2021
hosseinshn/Velodrome;17;2021-05-25;2;['bioinformatics', 'domain-generalization', 'drug-response-prediction', 'out-of-distribution-generalization', 'pharmacogenomics', 'transferlearning'];Python;2021
stajichlab/biosample_metadata;17;2021-04-08;1;['bioinformatics', 'biosample', 'ncbi-biosamples', 'ncbi-sra'];Python;2021
kad-ecoli/python_scripts;16;2016-06-02;10;['bioinformatics', 'gene-ontology', 'protein-sequences', 'protein-structure'];Python;2021
ksahlin/IsoCon;16;2016-12-13;1;['bioinformatics', 'ccs', 'clustering', 'error-correction', 'long-reads', 'transcriptome'];Python;2021
soedinglab/BaMMmotif2;15;2016-08-09;5;['bioinformatics', 'chip-seq', 'motif-analysis', 'motif-discovery', 'ngs-analysis'];C++;2021
SystemsGenetics/gene-oracle;15;2017-09-07;0;['bioinformatics', 'dataset', 'deep-learning', 'gene', 'genetic-algorithm', 'machine-learning', 'rna-seq'];Python;2021
amirmohan/SPROUT;15;2018-07-23;3;['bioinformatics', 'crispr-cas9', 'dna-repair', 'machine-learning'];Python;2021
lightaime/deep_gcns_torch;1188;2019-07-30;155;['3d-point-clouds', 'bioinformatics', 'cheminformatics', 'computer-vision', 'data-mining', 'deep-gcns', 'deep-learning', 'geometric-deep-learning', 'graph-convolutional-networks', 'graph-neural-networks', 'pytorch', 'science-research', 'social-network'];Python;2022
seq-lang/seq;706;2018-01-18;48;['bioinformatics', 'compiler', 'computational-biology', 'domain-specific-language', 'genomics', 'programming-language', 'python'];C++;2022
lh3/bioawk;637;2012-01-06;116;['bioinformatics', 'sequence-analysis'];C;2022
BenLangmead/bowtie;265;2012-12-20;82;['bioinformatics', 'c-plus-plus', 'genomics', 'read-aligners'];C++;2022
pnpnpn/dna2vec;191;2017-03-06;62;['bioinformatics', 'computational-biology', 'embeddings', 'machine-learning', 'ml', 'neural-network', 'nlp', 'python', 'word-embeddings', 'word2vec'];Python;2022
YaoLab-Bioinfo/shinyCircos;158;2017-07-21;47;['bioinformatics', 'circos', 'circos-graphs', 'r', 'shiny', 'shiny-server'];HTML;2022
OpenGene/MutScan;157;2016-07-23;37;['bioinformatics', 'cancer', 'detection', 'fastq', 'mutation', 'ngs', 'somatic', 'validation', 'variant', 'visualization'];C;2022
hall-lab/svtools;156;2014-04-09;55;['bioinformatics', 'structural-variation'];Python;2022
CRG-CNAG/CalliNGS-NF;137;2017-02-28;51;['bioinformatics', 'gatk', 'genomics', 'nextflow', 'ngs', 'rna-seq', 'variant-calling'];Nextflow;2022
OpenGene/GeneFuse;131;2017-01-20;60;['alk', 'bioinformatics', 'cancer', 'cosmic', 'eml4', 'fusion', 'gene', 'ret', 'ros1'];C;2022
YaqiangCao/cLoops;114;2017-06-26;18;['3d-genome', 'algorithm', 'bioinformatics', 'chia-pet', 'chromatin-interaction', 'chromatin-loops', 'chromatin-stripes', 'clustering', 'dbscan', 'example-data', 'hi-c', 'hichip', 'loops-calling', 'ngs', 'pipeline', 'python', 'sequencing', 'stripes', 'tool', 'trac-looping'];Python;2022
lemuria-wchen/imcs21-cblue;106;2022-01-24;29;['annotated-corpora', 'bioinformatics', 'healthcare-application', 'medical-dialogue', 'natural-language-understanding'];Python;2022
HKU-BAL/Clair;105;2019-03-11;13;['bioinformatics', 'computational-biology', 'deep-learning', 'variant-calling'];Python;2022
MicrobeLab/DeepMicrobes;103;2019-07-03;22;['bioinformatics', 'deep-learning', 'metagenomics', 'microbiome', 'next-generation-sequencing'];Python;2022
hardingnj/xpclr;101;2016-03-23;29;['bioinformatics', 'genetics', 'popgen', 'selection'];Python;2022
ding-lab/CharGer;99;2015-10-19;37;['acmg', 'annotations', 'bioinformatics', 'characterization', 'clinical', 'clinvar', 'diseases', 'exac', 'germline-variants', 'gnomad', 'pathogenic-variants', 'pathogenicity', 'variants', 'vep'];Python;2022
RafsanjaniHub/PyFeat;97;2018-05-02;32;['bioinformatics', 'computational-biology', 'genomics', 'proteomics'];Python;2022
PabloEnmanuelRamos/BioBlender21;88;2020-04-09;11;['bioblender', 'bioinformatics', 'bioinformatics-tool', 'biology', 'blender', 'blender-addon', 'python'];Python;2022
pierrebarbera/epa-ng;86;2015-11-03;7;['bioinformatics', 'mpi', 'mpi-io', 'openmp', 'phylogenetics', 'placement', 'taxonomic-classification'];C++;2022
harryjubb/arpeggio;83;2018-05-02;25;['atomic-interactions', 'bioinformatics', 'cheminformatics', 'structural-bioinformatics'];Python;2022
instadeepai/manyfold;82;2022-08-31;9;['bioinformatics', 'deep-learning', 'jax', 'protein-folding', 'protein-structure', 'python', 'research'];Python;2022
urmi-21/orfipy;76;2020-08-10;10;['bioinformatics', 'codon-tables', 'dna', 'extract-orfs', 'orf-detection', 'orf-finder', 'orf-search', 'protein', 'python'];Python;2022
bio-ontology-research-group/ontology-tutorial;73;2017-07-10;18;['bioinformatics', 'ismb', 'machine-learning', 'ontology', 'ontology-tutorial', 'semantic-similarity-measures', 'tutorial'];Jupyter Notebook;2022
lh3/fermi-lite;72;2016-07-18;23;['bioinformatics', 'denovo-assembly', 'genomics'];C;2022
OpenHero/gblastn;70;2013-08-27;21;['bioinformatics', 'blastn', 'cuda', 'dna', 'dna-alignment', 'dna-sequences', 'gpu', 'high-performance', 'high-performance-computing', 'ncbi-blast', 'nvidia'];C++;2022
monarch-initiative/biolink-api;66;2016-12-17;25;['api', 'bioinformatics', 'gene', 'model-organisms', 'ontologies', 'phenotypes', 'python', 'swagger'];Python;2022
OpenGene/OpenGene.jl;66;2015-12-05;15;['bioinformatics', 'julia', 'ngs'];Julia;2022
mdshw5/simplesam;64;2015-05-20;8;['bam', 'bioinformatics', 'genomics', 'python', 'sam'];Python;2022
BioinfoMachineLearning/DeepInteract;64;2021-10-04;12;['bioinformatics', 'deep-learning', 'docker', 'geometric-deep-learning', 'graph-neural-networks', 'machine-learning', 'protein-protein-interactions', 'proteins', 'transformers'];Python;2022
j-andrews7/Genotify;57;2017-10-31;8;['bioinformatics', 'desktop-application', 'gene', 'gene-annotation', 'genetics', 'lookup', 'protein-function'];JavaScript;2022
xryanglab/RiboCode;57;2017-03-08;16;['bioinformatics', 'orfs', 'peptides', 'ribosome-profiling'];Python;2022
smdabdoub/kraken-biom;57;2016-04-15;17;['bioinformatics', 'biom-format', 'kraken', 'metagenomics', 'taxonomic-classification', 'taxonomy'];Python;2022
andrewrech/antigen.garnish;49;2017-07-30;13;['bioinformatics', 'immunoinformatics', 'immunology', 'machine-learning', 'peptides'];R;2022
OpenGene/UniqueKMER;48;2020-04-24;7;['bioinformatics', 'fasta', 'kmer', 'ngs', 'sequencing', 'unique', 'virus'];C;2022
appliedbinf/covid19-event-risk-planner;47;2020-04-28;21;['bioinformatics', 'covid-19', 'covid19', 'daily-data', 'modeling', 'rstats', 'shiny', 'shiny-apps', 'shiny-r'];R;2022
XiaoTaoWang/TADLib;45;2014-11-25;11;['bioinformatics', 'chromatin', 'contact-matrix', 'cooler', 'genomics', 'hi-c', 'python', 'tad', 'tads'];Python;2022
SmartDataAnalytics/BioKEEN;45;2018-09-25;4;['bioinformatics', 'knowledge-graph-embeddings', 'linked-data', 'machine-learning'];Jupyter Notebook;2022
liaochenlanruo/pgcgap;41;2019-04-22;8;['bioinformatics', 'ngs'];Perl;2022
jasdumas/shinyGEO;40;2015-05-01;48;['bioinformatics', 'data-visualization', 'gene-expression', 'r', 'shiny'];CSS;2022
aryeelab/hichipper;40;2016-10-14;15;['bioinformatics', 'chromatin-interaction', 'epigenetics', 'hichip'];HTML;2022
BioinformaticsToolsmith/MeShClust;39;2017-11-01;12;['bioinformatics', 'clustering', 'sequence-clustering'];C++;2022
HadrienG/taxadb;39;2016-06-09;15;['bioinformatics', 'database', 'ncbi', 'ncbi-taxonomy', 'python', 'taxonomy'];Python;2022
VascoElbrecht/JAMP;38;2016-11-10;6;['bioinformatics', 'metabarcoding'];R;2022
cggh/panoptes;37;2013-10-29;6;['analytics', 'bioinformatics', 'data-science', 'genome'];JavaScript;2022
GATB/MindTheGap;37;2016-04-20;12;['bioinformatics', 'debruijn-graph', 'gatb', 'genomics', 'structural-variants'];C++;2022
dieterich-lab/DCC;37;2015-04-29;20;['bioinformatics', 'circular-rna', 'computational-biology', 'dcc', 'python'];Python;2022
MHH-RCUG/Wochenende;37;2018-07-09;16;['alignment', 'bioinformatics', 'conda-environment', 'genomics', 'metagenomics', 'nanopore', 'pipeline', 'slurm'];Python;2022
sbg/sevenbridges-r;36;2015-12-15;14;['api-client', 'bioconductor', 'bioinformatics', 'cloud', 'common-workflow-language', 'sevenbridges'];R;2022
AnimalGenomicsETH/bovine-graphs;35;2020-12-29;7;['bioinformatics', 'genomics', 'graphs', 'pangenome', 'transcriptomic'];Python;2022
urmi-21/MetaOmGraph;34;2018-06-30;14;['big-data-visualization', 'bioinformatics', 'cancer-data', 'exploratory-data-analysis', 'mog', 'rna-seq', 'transcriptomics'];Java;2022
ENCODE-DCC/wgbs-pipeline;32;2018-04-24;14;['bioinformatics', 'methylation', 'ngs', 'pipeline', 'wgbs'];Python;2022
stracquadaniolab/pygna;32;2019-04-17;6;['bioinformatics', 'biostatistics', 'enrichment-analysis', 'network-biology', 'networkx', 'pygna'];Python;2022
amnh/PCG;32;2017-04-04;1;['bioinformatics', 'comparative-genomics', 'comparative-linguistics', 'graph-algorithms', 'haskell', 'phylogenetic-networks', 'phylogenetics', 'string-alignment'];Haskell;2022
Electrostatics/electrostatics.github.io;31;2014-03-19;5;['bioinformatics', 'biophysics', 'chemistry', 'hacktoberfest'];Python;2022
dmnfarrell/smallrnaseq;30;2014-12-15;19;['bioinformatics', 'genomics', 'mirna', 'python', 'rna-seq', 'sequencing', 'smallrna'];Python;2022
sanger-pathogens/mlst_check;30;2012-07-23;15;['bioinformatics', 'bioinformatics-pipeline', 'genomics', 'global-health', 'infectious-diseases', 'next-generation-sequencing', 'pathogen', 'research', 'sequencing'];Perl;2022
n-szulc/fingeRNAt;30;2020-05-23;7;['bioinformatics', 'bioinformatics-tool', 'dna', 'drug-target-interactions', 'interactions', 'ligand-complex', 'ligand-receptor-interaction', 'ligand-target', 'molecular-interactions', 'nucleic-acids', 'rna', 'rna-ligand-complexes', 'scientific-computing', 'structural-bioinformatics', 'structural-interaction-fingerprint'];Python;2022
philippmuench/dna_lstm;30;2017-07-21;16;['bioinformatics', 'lstm', 'rnn'];Python;2022
mbhall88/pafpy;30;2020-05-13;3;['alignment', 'bioinformatics', 'library', 'minimap2', 'paf', 'pairwise-mapping-format', 'python'];Python;2022
multimeric/vue-cwl;30;2018-02-15;3;['bioinformatics'];Vue;2022
JTFouquier/ghost-tree;30;2014-09-05;19;['bioinformatics', 'diversity', 'fungal', 'fungi', 'microbial-ecology', 'microbiology', 'microbiome', 'phylogenetic-trees', 'phylogenetics', 'python', 'python3'];Python;2022
sujunhao/RENET2;29;2021-03-13;4;['bioinformatics', 'deep-learning', 'gene-disease-associations', 'relation-extraction'];Jupyter Notebook;2022
albertozeni/LOGAN;29;2019-09-30;4;['bioinformatics', 'cuda', 'genomics', 'gpu', 'hpc'];Cuda;2022
HelikarLab/candis;27;2017-03-24;22;['bioinformatics', 'data-mining', 'flask', 'machine-learning', 'python', 'r', 'react', 'redux', 'weka'];JavaScript;2022
raivivek/til;27;2016-02-12;1;['algorithm', 'algorithms', 'bioinformatics', 'biology', 'python', 'til', 'unix', 'zen-lessons'];Python;2022
Phillip-a-richmond/GenomeAnalysisModule;26;2016-11-12;5;['bc-children-hospital', 'bcchr', 'bioinformatics', 'bwamem', 'dna-seq', 'dnaseq', 'evidence2innovation', 'genetic', 'genetic-counselling', 'genome', 'genomics', 'richmond', 'short-read', 'ubc', 'vancouver', 'workshop'];HTML;2022
benedekrozemberczki/OrbitalFeatures;26;2019-01-28;11;['bioinformatics', 'centrality', 'clustering-coefficient', 'complex-networks', 'data-science', 'deepwalk', 'feature-extraction', 'graph-classification', 'graph-enumeration', 'graphlet', 'machine-learning', 'motif', 'network-science', 'node-classification', 'node-embedding', 'node2vec', 'orbit', 'research', 'role2vec', 'sklearn'];Python;2022
czbiohub-sf/sc2-illumina-pipeline;25;2020-03-21;9;['bioinformatics', 'covid-19', 'covid19', 'covid19-sequencing', 'msspe', 'nextflow', 'pipeline'];Nextflow;2022
clicumu/doepipeline;25;2016-03-02;2;['bioinformatics', 'doe', 'optimization', 'pipeline'];Python;2022
informationsea/vcf-rs;25;2020-03-17;2;['bioinformatics', 'parser', 'rust'];Rust;2022
olgatsiouri1996/biomisc_R;24;2021-05-11;0;['bioinformatics', 'differential-expression', 'fasta', 'r', 'statistics'];R;2022
ben-laufer/CpG_Me;24;2018-09-20;12;['alignment', 'bioinformatics', 'bismark-cytosine-report', 'cpg', 'dna-methylation', 'slurm', 'wgbs', 'whole-genome-bisulfite-sequencing'];Shell;2022
konrad/Introduction_to_the_Unix_Shell_for_biologists;23;2014-08-14;13;['bioinformatics', 'oer', 'shell'];Makefile;2022
blengerich/GenAMap;22;2016-01-29;7;['bioinformatics', 'gwas', 'structured-association-mapping'];C++;2022
Edinburgh-Genome-Foundry/genome_collector;22;2019-11-07;0;['bioinformatics', 'blast', 'bowtie', 'ncbi', 'python', 'synbio', 'synthetic-biology', 'taxid'];Python;2022
natir/rustyread;22;2021-03-19;2;['bioinformatics', 'long-reads'];Jupyter Notebook;2022
epigen/open_pipelines;22;2016-05-06;11;['atac-seq', 'bioinformatics', 'chip-seq', 'looper', 'ngs-pipeline', 'pipeline', 'pypiper', 'rna-seq'];Python;2022
carlobaldassi/GaussDCA.jl;22;2013-12-06;12;['bioinformatics', 'direct-coupling-analysis', 'julia', 'predicted-contacts', 'protein-contact-prediction'];Julia;2022
vinuesa/intro2linux;22;2020-09-30;6;['awk', 'awk-script', 'bash', 'bash-script', 'bioinformatica', 'bioinformatics', 'gnu-linux', 'linux', 'linux-shell', 'shell-script', 'tutorial'];HTML;2022
moshi4/GBKviz;22;2021-11-12;4;['bioinformatics', 'biopython', 'comparative-genomics', 'genbank', 'genomics', 'genomics-visualization', 'microbial-genomics', 'python', 'streamlit', 'visualization', 'webapp'];Python;2022
wtsi-hpag/Scaff10X;21;2018-03-09;2;['10xgenomics', 'assembly', 'bioinformatics', 'breaking', 'genome', 'genomics', 'scaffolding'];C;2022
rjdkmr/gcMapExplorer;21;2016-08-02;9;['bioinformatics', 'genomic-data-analysis', 'hi-c'];Python;2022
shiwentao00/Pocket2Drug;21;2021-12-02;8;['bioinformatics', 'deep-learning', 'drug-discovery', 'generative-model', 'graph-neural-network', 'ligand-binding-site', 'protein', 'pytorch'];Python;2022
victor369basu/ProteinStructurePrediction;20;2022-08-04;5;['3d', 'ai', 'attention-mechanism', 'bioinformatics', 'data-science', 'machine-learning', 'medical', 'protein', 'protein-structure', 'python3', 'pytorch', 'transformer'];Python;2022
CBSR-Biobank/bbweb;20;2013-05-23;16;['biobank', 'bioinformatics', 'biospecimen', 'lims'];Scala;2022
jithin8mathew/Protein-feature-extraction;20;2018-11-16;2;['bioinformatics', 'bioinformatics-analysis', 'bioinformatics-data', 'bioinformatics-pipeline', 'biopython', 'deep-learning', 'extract-features', 'fasta', 'feature-extraction', 'linux', 'machine-learning', 'protein-feature-extraction', 'protein-sequences', 'windows'];Python;2022
sbg/sevenbridges-cwl;20;2018-08-01;3;['bioinformatics', 'common-workflow-language', 'cwl', 'python', 'sevenbridges'];Python;2022
stephenturner/kgp;20;2022-09-09;4;['1000genomes', 'bioinformatics', 'genetics', 'genomics', 'metadata', 'population-genetics', 'sequencing'];R;2022
Zenleaf/entrez-rs;19;2020-11-08;3;['bioinformatics', 'biorust', 'blast', 'entrez', 'gene', 'medical', 'ncbi', 'pubmed', 'rust'];Rust;2022
lweasel/piquant;19;2014-04-28;4;['bioinformatics', 'quantification', 'rna-sequencing', 'transcripts'];Python;2022
eblancoga/seqcode;19;2021-06-07;2;['bioinformatics', 'chip-seq', 'epigenetics', 'epigenomics', 'genomics', 'genomics-visualization'];C;2022
dongxuemin666/RNA-combine;19;2020-07-16;10;['bioinformatics', 'rna-seq', 'single-cell'];Python;2022
carjed/helmsman;19;2018-06-04;5;['bioinformatics', 'mutational-signatures', 'sequencing', 'somatic-variants', 'vcf'];Python;2022
spaceth/goldenrecord;18;2020-03-31;5;['bioinformatics', 'dna', 'genetics', 'huffman', 'music'];TypeScript;2022
awslabs/dgl-lifesci;786;2020-04-23;160;['bioinformatics', 'cheminformatics', 'deep-learning', 'dgl', 'drug-discovery', 'geometric-deep-learning', 'graph-neural-networks', 'molecule'];Python;2023
jts/nanopolish;594;2014-12-17;162;['bioinformatics', 'c-plus-plus', 'epigenetics', 'genome-assembly', 'methylation', 'science'];C++;2023
priyank-purohit/PostGUI;472;2018-09-15;59;['admin', 'bioinformatics', 'dashboard', 'data', 'data-sharing', 'database', 'database-as-a-service', 'database-gui', 'genomics', 'gui', 'material-design', 'material-ui', 'postgres', 'postgresql', 'postgrest', 'query-builder', 'react', 'react-admin', 'reactjs', 'typescript'];JavaScript;2023
Illumina/hap.py;455;2015-04-28;132;['bioinformatics', 'genomics', 'vcf', 'vcf-comparison'];C++;2023
fritzsedlazeck/SURVIVOR;406;2015-10-27;49;['bioconda', 'bioinformatics', 'comparison', 'simulator', 'structural-variations', 'survivor', 'vcf'];C++;2023
rvalieris/parallel-fastq-dump;301;2017-03-11;36;['bioinformatics'];Python;2023
ababaian/serratus;275;2020-03-02;34;['aws', 'bioinformatics', 'coronavirus', 'covid19', 'open-science', 'sars-cov-2'];Jupyter Notebook;2023
bioSyntax/bioSyntax;271;2017-12-05;31;['bam', 'bioinformatics', 'computational-biology', 'fasta', 'gedit', 'less', 'pdb', 'sublime-text', 'syntax-highlighting', 'vcf', 'vim'];Shell;2023
BioJulia/Bio.jl;266;2014-01-23;63;['bioinformatics', 'biojulia', 'biojulia-packages', 'biology', 'deprecated', 'dna', 'genomics'];Julia;2023
sanger-pathogens/ariba;182;2015-02-11;59;['bioinformatics', 'bioinformatics-pipeline', 'genomics', 'global-health', 'infectious-diseases', 'next-generation-sequencing', 'pathogen', 'research', 'sequencing'];Python;2023
aquaskyline/Clairvoyante;173;2017-07-21;25;['bioinformatics', 'computational-biology', 'deep-learning', 'variant-calling'];Python;2023
fjossinet/RNArtist;164;2020-04-24;10;['bioinformatics', 'java', 'javafx-application', 'kotlin', 'rna', 'rna-secondary-structure', 'rna-structure'];Kotlin;2023
DeepChainBio/bio-transformers;155;2021-04-15;32;['artificial-intelligence', 'bioinformatics', 'embeddings', 'transformer'];Python;2023
lh3/ksw2;140;2017-06-22;28;['bioinformatics', 'sequence-alignment'];C;2023
MaxValue/Terpene-Profile-Parser-for-Cannabis-Strains;128;2018-02-05;18;['analysis', 'aromatherapy', 'bioinformatics', 'biological-data', 'biological-data-analysis', 'cannabis', 'cannabis-strains', 'crawler', 'data-science', 'database', 'health', 'plants', 'python', 'python-3', 'scrapy', 'terpene-profile', 'terpenes', 'web-crawler', 'web-crawler-python', 'web-crawling'];Python;2023
OpenGene/gencore;126;2018-05-03;31;['bioinformatics', 'consensus', 'deduplication', 'deep-sequencing', 'duplex', 'duplex-sequencing', 'duplication', 'ngs', 'sequencing', 'sequencing-error', 'sequencing-noise', 'somatic'];C++;2023
sanger-pathogens/assembly-stats;124;2014-04-04;23;['bioinformatics', 'genomics', 'global-health', 'infectious-diseases', 'next-generation-sequencing', 'pathogen', 'research', 'sequencing'];C++;2023
OpenGene/fastv;118;2020-03-26;24;['2019-ncov', 'bioinformatics', 'coronavirus', 'covid', 'covid-19', 'hcov', 'meta-genomics', 'microbial-sequences', 'mngs', 'ngs', 'sars-cov-2', 'sequencing', 'viral', 'viral-infectious-diseases', 'virus', 'visualization'];C++;2023
bioinfomaticsCSU/deepsignal;117;2018-12-11;22;['bioinformatics', 'epigenetics', 'methylation', 'nanopore-sequencing', 'tensorflow'];Python;2023
ctSkennerton/minced;116;2013-11-18;20;['bioinformatics', 'crispr'];Java;2023
evoldoers/biomake;110;2011-09-10;9;['bioinformatics', 'gnu-make', 'makefiles', 'prolog', 'swi-prolog', 'workflows'];Prolog;2023
yanwu2014/swne;106;2018-01-03;18;['bioinformatics', 'data-visualization', 'dimensionality-reduction', 'nonnegative-matrix-factorization', 'single-cell-analysis', 'single-cell-atac-seq', 'single-cell-genomics', 'single-cell-rna-seq', 'statistical-methods'];R;2023
ewels/clusterflow;98;2014-05-16;26;['bioinfomatics-pipeline', 'bioinformatics', 'clusterflow', 'perl', 'pipeline'];Perl;2023
wurmlab/flo;98;2015-05-06;29;['bioinformatics', 'gene-prediction', 'gff', 'liftover'];Ruby;2023
JEFworks-Lab/STalign;93;2023-03-10;23;['alignment', 'bioinformatics', 'diffeomorphism', 'singlecell', 'spatialtranscriptomics'];HTML;2023
dib-lab/dammit;93;2015-09-18;28;['annotation', 'bioinformatics', 'transcriptomics'];Python;2023
clindet/bget;89;2019-08-13;20;['bioinformatics', 'database', 'spider'];Go;2023
arzwa/wgd;86;2018-01-17;42;['bioinformatics', 'duplication', 'evolution', 'genomics', 'polyploidy', 'wgd'];Python;2023
bcgsc/mavis;75;2017-12-01;14;['bioinformatics', 'genomics', 'python', 'structural-variation', 'transcriptome', 'visualization'];Python;2023
twoXes/awesome-structural-bioinformatics;75;2021-03-21;11;['alphafold', 'awesome-list', 'bioinformatics', 'bioinformatics-analysis', 'bioinformatics-pipeline', 'biology', 'cheminformatics', 'chemistry', 'deep-learning', 'docking', 'genetics', 'genome-alignment', 'genomics', 'machine-learning', 'molecular-informatics', 'protein', 'protein-structure', 'protein-structure-prediction', 'proteomics', 'quantum-chemistry'];Python;2023
oschwengers/asap;75;2017-08-06;19;['amr', 'annotation', 'assembly', 'bacteria', 'bioinformatics', 'ngs'];Groovy;2023
gcorso/NeuroSEED;73;2021-04-27;18;['bioinformatics', 'biological-sequences', 'hierarchical-clustering', 'machine-learning', 'multiple-sequence-alignment', 'neurips-2021', 'pytorch'];Python;2023
epiviz/epiviz;71;2013-05-08;12;['bioinformatics', 'epigenetic-data', 'epiviz', 'javascript', 'visualization'];JavaScript;2023
akiyamalab/MEGADOCK;70;2016-01-11;36;['bioinformatics', 'cuda', 'fftw', 'gpu', 'protein-protein-interaction'];C++;2023
Genotek/ClassifyCNV;69;2020-07-15;15;['annotations', 'bioinformatics', 'clinical-genomics', 'cnv', 'copy-number-variation', 'deletion', 'duplication', 'pathogenicity'];Python;2023
deweylab/CellO;68;2019-04-05;14;['bioinformatics', 'cell-biology', 'cell-type', 'cell-type-classification', 'computational-biology', 'machine-learning', 'ontologies', 'rna-seq', 'single-cell-rna-seq'];Jupyter Notebook;2023
ShujiaHuang/geneview;68;2016-01-24;9;['bioinformatics', 'bioinformatics-tool', 'data-visualization', 'genomics-data-visualization', 'matplotlib', 'plotting', 'python', 'visualization'];Python;2023
UCLOrengoGroup/cath-tools;66;2015-07-21;13;['alignment', 'bioinformatics', 'biology', 'cath', 'cath-resolve-hits', 'orengo', 'pdb', 'protein', 'ssap', 'structure', 'superposition', 'ucl'];C++;2023
songweizhi/MetaCHIP;65;2016-09-27;17;['bioinformatics', 'hgt', 'horizontal-gene-transfer', 'lateral-gene-transfer', 'lgt', 'metagenomics'];Python;2023
bcgsc/tigmint;63;2017-07-22;13;['10xgenomics', 'bioinformatics', 'bioinformatics-tool', 'genome-assembly', 'genome-scaffolding', 'linked-reads', 'misassembly-correction'];Python;2023
widdowquinn/find_differential_primers;62;2012-01-30;24;['bioinformatics', 'bioinformatics-scripts', 'diagnostic-primers', 'diagnostics', 'primer-design', 'qpcr'];Python;2023
irycisBioinfo/PATO;62;2020-01-28;6;['bioinformatics', 'genomics', 'r'];R;2023
FelixKrueger/SNPsplit;61;2016-04-27;21;['allele-specific', 'bioinformatics', 'ngs', 'sequencing'];Perl;2023
sagnikbanerjee15/Finder;61;2021-01-08;15;['bioinformatics', 'bioinformatics-pipeline', 'changepoint-detection', 'finder', 'gene-annotation-pipeline', 'gene-annotations', 'gene-models', 'genome-annotation', 'gtf', 'predict-genes', 'protein-sequences', 'rna-seq', 'transcripts'];Python;2023
dib-lab/charcoal;59;2020-03-09;2;['bioinformatics', 'k-mer', 'metagenomics', 'sourmash'];Python;2023
clemgoub/dnaPipeTE;59;2016-04-15;11;['annotation-pipeline', 'annotations', 'assembly', 'bioinformatics', 'genomics', 'pipeline', 'repeatmasker', 'transposable-elements', 'trinity'];Dockerfile;2023
CDCgov/datasets-sars-cov-2;58;2021-08-09;24;['bioinformatics', 'public-health', 'sars-cov-2'];Perl;2023
gencorefacility/variant-calling-pipeline-gatk4;58;2020-03-19;49;['bioinformatics', 'bioinformatics-pipeline', 'gatk4', 'genomics', 'nextflow', 'variant-calling'];Nextflow;2023
samuell/gccontent-benchmark;57;2017-07-13;18;['benchmarking', 'bioinformatics', 'programming-languages'];Rust;2023
robertaboukhalil/ginkgo;53;2013-05-01;30;['bioinformatics', 'sequencing', 'single-cell-genomics'];PHP;2023
glarue/jgi-query;51;2015-07-21;17;['bioinformatics', 'cli', 'genomes', 'genomics', 'python'];Python;2023
AutoFlowResearch/SmartPeak;51;2018-07-09;13;['analyses', 'bioinformatics', 'biotech', 'biotechnology', 'gc-ms', 'lc-ms', 'lc-msms', 'mass-spectrometry', 'ms-data'];C++;2023
rdpstaff/RDPTools;51;2013-06-17;53;['16s', 'bayesian-classifiers', 'bioinformatics', 'microbiology', 'microbiome', 'sequence-alignment'];Makefile;2023
poke1024/pyalign;50;2021-06-17;7;['alignment', 'bioinformatics', 'digital-humanities', 'gotoh-algorithm', 'needleman-wunsch-algorithm', 'smith-waterman-algorithm'];C++;2023
